epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8
91,147709,1.1534,1.30324,1.19575,0.62577,0.46742,0.51294,0.36262,1.13047,1.22268,1.15832,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00109
92,149315,1.14619,1.28326,1.18983,0.63211,0.46587,0.5139,0.36339,1.12892,1.22141,1.15742,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.000991
93,150918,1.14049,1.26941,1.18666,0.63394,0.46627,0.51509,0.36433,1.12803,1.21988,1.15678,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.000892
94,152538,1.13754,1.25984,1.18334,0.63337,0.46774,0.51586,0.36542,1.12755,1.21868,1.15615,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.000793
95,154163,1.1324,1.24875,1.17895,0.63357,0.4685,0.51605,0.36546,1.12731,1.21774,1.15558,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.000694
96,155765,1.127,1.23888,1.17649,0.62923,0.47072,0.51611,0.36596,1.12643,1.21621,1.15474,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.000595
97,157371,1.12148,1.22788,1.17346,0.62688,0.47316,0.51678,0.36614,1.12607,1.21493,1.15409,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.000496
98,158986,1.11823,1.21671,1.17055,0.62975,0.47591,0.51718,0.36647,1.12557,1.21362,1.1534,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.000397
99,160593,1.11378,1.20716,1.1681,0.62144,0.47943,0.51732,0.36657,1.12493,1.2128,1.15267,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000298
100,162205,1.1078,1.1964,1.16373,0.61938,0.47906,0.51757,0.36675,1.125,1.21236,1.15253,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000199
